,Followers.at.Posting,type_Live Video Complete,Likes.at.Posting,time_difference,prep,WC,focuspast,number,OtherP,Sixltr,article,fnctn,page_category_NEWS_SITE,WPS,Period,Comma,motion,we,time,sec_15,sec_30,sec_60,sec_120,sec_half_day,sec_day,sec_7_days,target,popular
111062,449100,1,416085,49326744.0,12.77,47,0.0,4.26,0.0,8.51,8.51,51.06,0,15.67,4.26,4.26,0.0,8.51,4.26,1,1,1,1,1,1,1,177,1
80639,360143,1,356188,71478039.0,14.89,47,0.0,4.26,0.0,23.4,6.38,23.4,0,9.4,8.51,0.0,0.0,2.13,10.64,1,1,1,1,1,1,1,96,1
104893,1033786,0,1003645,41743941.0,7.41,27,3.7,0.0,0.0,29.63,3.7,48.15,0,13.5,3.7,3.7,0.0,0.0,0.0,1,1,1,1,1,1,1,87,1
9725,470894,0,506482,64968095.0,4.76,21,0.0,4.76,0.0,14.29,4.76,19.05,0,10.5,4.76,0.0,0.0,4.76,9.52,1,1,1,1,1,1,1,179,1
4529,28907,0,29997,88342814.0,17.42,155,0.0,6.45,3.87,11.61,10.32,40.0,0,22.14,3.23,3.23,0.0,2.58,10.32,1,1,1,1,1,1,1,4,0
59828,526089,0,526401,8538884.0,21.43,56,0.0,0.0,5.36,26.79,8.93,37.5,0,28.0,3.57,0.0,5.36,0.0,0.0,1,1,1,1,1,1,1,15,0
49218,260631,0,255010,24188063.0,9.38,32,0.0,0.0,18.75,18.75,3.12,28.12,0,10.67,6.25,0.0,0.0,0.0,6.25,1,1,1,1,1,1,1,7,0
113900,127917,1,124767,21676370.0,0.0,9,0.0,22.22,0.0,22.22,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,22.22,1,1,1,1,1,1,1,138,1
69691,515149,0,517351,86767067.0,23.53,34,2.94,2.94,5.88,23.53,5.88,35.29,0,17.0,0.0,2.94,5.88,0.0,8.82,1,1,1,1,1,1,1,6,0
32179,12211,0,12104,34130956.0,7.14,14,0.0,0.0,0.0,21.43,7.14,21.43,0,7.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,2,0
133530,149168,0,150572,31985397.0,15.79,133,0.0,3.76,3.76,30.83,5.26,29.32,0,26.6,3.76,6.02,0.75,1.5,3.76,1,1,1,1,1,1,1,7,0
95514,157635,0,160617,61750514.0,14.14,99,2.02,0.0,1.01,23.23,8.08,44.44,0,19.8,6.06,6.06,0.0,2.02,11.11,1,1,1,1,1,1,1,2,0
34141,120238,0,121410,36401443.0,12.82,39,0.0,5.13,0.0,30.77,2.56,28.21,0,13.0,5.13,2.56,0.0,0.0,5.13,1,1,1,1,1,1,1,10,0
